"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"42","10YDE-VE-------2",2018-08-14,"05:30:00",2018-08-14,"07:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B20","300","External Factors","2018","08","14","08","14",2018-08-14 05:30:00,2018-08-14 07:15:00,0.0729166666666667
"43","10YDE-VE-------2",2018-09-15,"10:00:00",2018-09-15,"11:00:00","MAW","11WD8MARK1H----7","PSW Markersbach","11WD8MARK1H---FC","PSW Markersbach PSS F","160","B18","0",NA,"2018","09","15","09","15",2018-09-15 10:00:00,2018-09-15 11:00:00,0.0416666666666667
"44","10YDE-VE-------2",2018-10-11,"08:00:00",2018-10-12,"02:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","153","Other","2018","10","11","10","12",2018-10-11 08:00:00,2018-10-12 02:00:00,0.75
"45","10YDE-VE-------2",2018-10-30,"12:45:00",2018-10-30,"17:45:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","192","Other","2018","10","30","10","30",2018-10-30 12:45:00,2018-10-30 17:45:00,0.208333333333333
"46","10YDE-VE-------2",2018-11-10,"16:00:00",2018-11-12,"04:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","350",NA,"2018","11","10","11","12",2018-11-10 16:00:00,2018-11-12 04:30:00,1.52083333333333
"47","10YDE-VE-------2",2018-11-26,"11:15:00",2018-11-26,"15:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2018","11","26","11","26",2018-11-26 11:15:00,2018-11-26 15:15:00,0.166666666666667
"48","10YDE-VE-------2",2018-12-26,"09:02:00",2018-12-26,"10:30:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","364",NA,"2018","12","26","12","26",2018-12-26 09:02:00,2018-12-26 10:30:00,0.0611111111111111
"49","10YDE-VE-------2",2019-01-29,"23:15:00",2019-01-30,"09:00:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---DD","HKW Reuter West Block D","282","B18","0","Other","2019","01","29","01","30",2019-01-29 23:15:00,2019-01-30 09:00:00,0.40625
"50","10YDE-VE-------2",2019-02-27,"15:15:00",2019-02-27,"16:30:00","MAW","11WD8LICH5G----1","HKW Lichterfelde","11W0-0000-0103-9","Lichterfelde GUD","300","B18","0","Other","2019","02","27","02","27",2019-02-27 15:15:00,2019-02-27 16:30:00,0.0520833333333333
"51","10YDE-VE-------2",2019-03-11,"05:15:00",2019-03-11,"06:30:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5G-GUDI","HKW Tiefstack GuD","127","B18","12","Other","2019","03","11","03","11",2019-03-11 05:15:00,2019-03-11 06:30:00,0.0520833333333333
"52","10YDE-VE-------2",2019-03-13,"21:00:00",2019-04-17,"13:00:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---BJ","PSW Goldisthal PSS B","265","B18","0",NA,"2019","03","13","04","17",2019-03-13 21:00:00,2019-04-17 13:00:00,34.625
"53","10YDE-VE-------2",2019-04-24,"22:15:00",2019-04-25,"16:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","94","Other","2019","04","24","04","25",2019-04-24 22:15:00,2019-04-25 16:00:00,0.739583333333333
"54","10YDE-VE-------2",2019-05-17,"22:00:00",2019-10-11,"22:00:00","MAW","11WD8LICH5G----1","HKW Lichterfelde","11WD8LICH5G---1Y","HKW Lichterfelde Block 1","144","B18","0","Other","2019","05","17","10","11",2019-05-17 22:00:00,2019-10-11 22:00:00,147
"55","10YDE-VE-------2",2019-11-18,"06:45:00",2019-11-28,"16:30:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---DD","HKW Reuter West Block D","282","B18","130","Other","2019","11","18","11","28",2019-11-18 06:45:00,2019-11-28 16:30:00,10.40625
